Местное время в Никеле,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,grad
14.8,749.3,757.3,,70.0,"Ветер, дующий с востоко-юго-востока",6,8.0,,100%., ,,,,15.3,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,50.0,9.4,Осадков нет,12.0,,,,,,112
14.0,750.5,758.5,,68.0,"Ветер, дующий с юго-востока",4,6.0,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,8.2,,,,,,,,135
10.5,750.7,758.9,,78.0,"Ветер, дующий с северо-востока",2,2.0,,100%.,"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ",Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,7.1,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,10.0,6.7,Осадков нет,12.0,"Cухая (без трещин, заметного количества пыли или сыпучего песка)",5.0,,,,45
7.8,751.5,759.7,,80.0,"Ветер, дующий с северо-востока",4,8.0,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,4.6,,,,,,,,45
8.8,750.9,759.1,,77.0,"Ветер, дующий с востоко-северо-востока",10,12.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Морось.,Облака покрывали более половины неба в течение всего соответствующего периода.,,10.6,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,5.0,Следы осадков,12.0,,,,,,68
9.5,749.8,758.1,,83.0,"Ветер, дующий с северо-востока",8,10.0,,100%.,Морось незамерзающая непрерывная слабая в срок наблюдения. ,Ливень (ливни).,Морось.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,10.0,6.7,,,,,,,,45
8.9,747.1,755.3,,87.0,"Ветер, дующий с северо-востока",10,12.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.4,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,10.0,6.8,5.0,12.0,Поверхность почвы влажная.,8.0,,,,45
9.9,744.7,752.8,,86.0,"Ветер, дующий с северо-востока",6,10.0,,100%.,Состояние неба в общем не изменилось. ,Гроза (грозы) с осадками или без них.,Ливень (ливни).,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,7.6,,,,,,,,45
15.1,742.6,750.6,,77.0,"Ветер, дующий с северо-востока",6,10.0,,20–30%., ,,,,21.0,"Слоисто-кучевые, образовавшиеся не из кучевых.","10%  или менее, но не 0",1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,11.0,Осадков нет,12.0,,,,,,45
19.0,742.1,750.0,,62.0,"Ветер, дующий с северо-северо-запада",2,4.0,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,11.6,,,,,,,,318
15.3,742.9,750.8,,80.0,"Ветер, дующий с юго-востока",4,8.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,12.5,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,11.8,3.0,12.0,Поверхность почвы влажная.,12.0,,,,135
12.8,744.1,752.1,,96.0,"Штиль, безветрие",0,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,4.0,12.2,,,,,,,,0
