ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-10 00:00:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00291559840552509;0;0.40599998831749
2017-11-10 00:02:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00235849842429161;0;0.40599998831749
2017-11-10 00:04:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00283585436021288;0;0.40599998831749
2017-11-10 00:06:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00252781236389031;0;0.40599998831749
2017-11-10 00:08:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00475427516115208;0;0.40599998831749
2017-11-10 00:10:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00571114383637905;0;0.40599998831749
2017-11-10 00:12:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00527925277128816;0;0.40599998831749
2017-11-10 00:14:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00266357955988497;0;0.40599998831749
2017-11-10 00:16:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00315305990322183;0;0.40599998831749
2017-11-10 00:18:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00344206142860154;0;0.40599998831749
2017-11-10 00:20:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00361733104412754;0;0.40599998831749
2017-11-10 00:22:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00484513599270334;0;0.40599998831749
2017-11-10 00:24:00;0;12009.5013102214;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00513094688455264;0;0.40599998831749
2017-11-10 00:26:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00227134108232955;0;0.40599998831749
2017-11-10 00:28:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00323750784931084;0;0.40599998831749
2017-11-10 00:30:00;0;13833.3462809245;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00353777800531437;0;0.40599998831749
2017-11-10 00:32:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0226205505120258;0;0.40599998831749
2017-11-10 00:34:00;0;0;21470.5939615885;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0224558691416557;0;0.40599998831749
2017-11-10 00:36:00;0;0;41987.1908203125;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0234050001793851;0;0.40599998831749
2017-11-10 00:38:00;0;30606.8634765625;27104.7885742188;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0179280924222743;0;0.40599998831749
2017-11-10 00:40:00;0;17855.133211263;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0171857190396016;0;0.40599998831749
2017-11-10 00:42:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0109313805199539;0;0.40599998831749
2017-11-10 00:44:00;0;0;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00627814127753178;0;0.40599998831749
2017-11-10 00:46:00;0;0;1623.43346354167;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00385274793952703;0;0.40599998831749
2017-11-10 00:48:00;0;0;42456.8191731771;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00173006460536271;0;0.40599998831749
2017-11-10 00:50:00;0;0;38376.5223632812;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00126315694457541;0;0.40599998831749
2017-11-10 00:52:00;0;0;35220.0059082031;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00306504215889921;0;0.40599998831749
2017-11-10 00:54:00;0;0;32996.2248860677;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0136428144217158;0;0.40599998831749
2017-11-10 00:56:00;0;0;30754.4890950521;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0146403939307978;0;0.40599998831749
2017-11-10 00:58:00;0;46166.4076171875;26760.7680013021;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0124689736636356;0;0.40599998831749
2017-11-10 01:00:00;0;48038.9799479167;27687.015234375;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00712995543920745;0;0.40599998831749
2017-11-10 01:02:00;0;42525.4076822917;29859.5357584635;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0108651755532871;0;0.40599998831749
2017-11-10 01:04:00;0;41296.1555664062;29948.4506184896;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00821850981252889;0;0.40599998831749
2017-11-10 01:06:00;0;39785.2348307292;29605.1492675781;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0127864164610704;0;0.40599998831749
2017-11-10 01:08:00;0;38059.9256510417;31529.0758951823;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00911958825308829;0;0.40599998831749
2017-11-10 01:10:00;0;40432.9381184896;31733.9635416667;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0168607237826412;0;0.40599998831749
2017-11-10 01:12:00;0;36128.1783854167;33504.6439453125;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0191605654933179;0;0.40599998831749
2017-11-10 01:14:00;0;29221.9026692708;36046.0022135417;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0164454664414128;0;0.40599998831749
2017-11-10 01:16:00;0;23732.4521809896;37760.8105794271;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0182165226433426;0;0.40599998831749
2017-11-10 01:18:00;0;19126.7174316406;38738.1797200521;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0208750484123205;0;0.40599998831749
2017-11-10 01:20:00;0;14127.1971740723;39687.563671875;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0185877652761216;0;0.40599998831749
2017-11-10 01:22:00;0;12487.9723327637;41129.1091145833;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0180123262805864;0;0.40599998831749
2017-11-10 01:24:00;0;6205.41477864583;40865.2856770833;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0203509732615203;0;0.40599998831749
2017-11-10 01:26:00;0;34426.1858561198;17358.9982096354;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0200054179256161;0;0.40599998831749
2017-11-10 01:28:00;0;32602.3862141927;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0169794097077101;0;0.40599998831749
2017-11-10 01:30:00;0;31126.3944661458;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0197252383145193;0;0.40599998831749
2017-11-10 01:32:00;0;28845.9103515625;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0163853463483974;0;0.40599998831749
2017-11-10 01:34:00;0;37503.6562011719;0;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.0140493820731839;0;0.40599998831749
2017-11-10 01:36:00;0;27022.8128580729;35137.1562174479;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0.00396451510023326;0.00151324990826348;0.40599998831749
2017-11-10 01:38:00;0;36805.8927408854;27168.0797770182;0;0;2;5.2;746.9;85;2;4;2.9;0;112;0;0;0.40599998831749
